benchmark,freq0,freq1,p-value
linpack,2.0ghz,3.0ghz,0.22898533711961333
linpack,3.5ghz,4.25ghz,0.013007466607958674
linpack,3.5ghz,1.75ghz,0.007415319687152019
linpack,3.5ghz,2.25ghz,0.03971489002268778
linpack,3.5ghz,4.0ghz,0.12060767859094357
linpack,3.5ghz,3.75ghz,0.0436020520360401
linpack,3.5ghz,1.0ghz,0.3721083307918155
linpack,3.5ghz,2.5ghz,0.13517053560025727
linpack,3.5ghz,1.5ghz,0.013733404308894272
linpack,3.5ghz,3.25ghz,0.48486293237843714
linpack,3.5ghz,2.75ghz,0.013733404308894272
linpack,3.5ghz,4.75ghz,0.03971489002268778
linpack,3.5ghz,4.5ghz,0.0038398800013550467
linpack,3.5ghz,5.0ghz,0.8309905299998261
linpack,3.5ghz,1.25ghz,0.07425122834326177
linpack,3.5ghz,2.0ghz,0.415118275851869
linpack,3.5ghz,3.5ghz,1.0
linpack,3.5ghz,3.0ghz,0.013007466607958674
linpack,3.0ghz,4.25ghz,0.415118275851869
linpack,3.0ghz,1.75ghz,0.39325715704186925
linpack,3.0ghz,2.25ghz,0.6694793348058024
linpack,3.0ghz,4.0ghz,0.6414528745894932
linpack,3.0ghz,3.75ghz,0.6139282580548475
linpack,3.0ghz,1.0ghz,0.268742772421077
linpack,3.0ghz,2.5ghz,0.20724211154284822
linpack,3.0ghz,1.5ghz,0.6276258050283593
linpack,3.0ghz,3.25ghz,0.04566317848485905
linpack,3.0ghz,2.75ghz,0.8461535661468554
linpack,3.0ghz,4.75ghz,0.9227150779556011
linpack,3.0ghz,4.5ghz,0.2523052121646835
linpack,3.0ghz,5.0ghz,0.029771346975723968
linpack,3.0ghz,1.25ghz,0.6836702770203351
linpack,3.0ghz,2.0ghz,0.22898533711961333
linpack,3.0ghz,3.5ghz,0.013007466607958674
linpack,3.0ghz,3.0ghz,1.0
lrserv,4.75ghz,4.75ghz,1.0
lrserv,4.75ghz,2.5ghz,0.27907126187468123
lrserv,4.75ghz,3.25ghz,0.93813717383897
lrserv,4.75ghz,2.25ghz,0.48486293237843714
lrserv,4.75ghz,2.0ghz,0.861373792455552
lrserv,4.75ghz,4.0ghz,0.42631291323985965
lrserv,4.75ghz,1.75ghz,0.05723926127938553
lrserv,4.75ghz,4.5ghz,0.5346712115320105
lrserv,4.75ghz,1.0ghz,0.1253189420819512
lrserv,4.75ghz,1.5ghz,0.5736510006245363
lrserv,4.75ghz,4.25ghz,0.3129994773224958
lrserv,4.75ghz,3.5ghz,0.18063688161006308
lrserv,4.75ghz,3.75ghz,0.4728155871746813
lrserv,4.75ghz,5.0ghz,0.14031564937735788
lrserv,4.75ghz,3.0ghz,0.03612587577799184
lrserv,4.75ghz,2.5ghz copy,0.3037847253883319
lrserv,4.75ghz,2.75ghz,0.0478057953309806
lrserv,4.75ghz,1.25ghz,0.9073219836857066
lrserv,2.5ghz,4.75ghz,0.27907126187468123
lrserv,2.5ghz,2.5ghz,1.0
lrserv,2.5ghz,3.25ghz,0.3427338341027869
lrserv,2.5ghz,2.25ghz,0.1452340729732504
lrserv,2.5ghz,2.0ghz,0.3850664818284829
lrserv,2.5ghz,4.0ghz,0.46235873008959283
lrserv,2.5ghz,1.75ghz,0.04089939116285119
lrserv,2.5ghz,4.5ghz,0.13799475087813196
lrserv,2.5ghz,1.0ghz,0.15276075132925196
lrserv,2.5ghz,1.5ghz,0.1452340729732504
lrserv,2.5ghz,4.25ghz,0.621000203004081
lrserv,2.5ghz,3.5ghz,0.7995742210223482
lrserv,2.5ghz,3.75ghz,0.7182469617733183
lrserv,2.5ghz,5.0ghz,0.5837704941889161
